MA_CN,LOAI_TIEN,MA_TK,TEN_TK,LOAI_BT,DN_DAUKY,DC_DAUKY,SBT_NO,ST_GHINO,SBT_CO,ST_GHICO,DN_CUOIKY,DC_CUOIKY
"7808","USD","4     ","Các khoản phải trả","'C","0                      ","37.85                  ","0     ","0                      ","0     ","0                      ","0                      ","37.85                  "
"7808","USD","45    ","Các khoản phải trả cho bên ngoài","'C","0                      ","0                      ","0     ","0                      ","0     ","0                      ","0                      ","0                      "
"7808","USD","453   ","Thuế và các khoản phải nộp Nhà nước","'C","0                      ","0                      ","0     ","0                      ","0     ","0                      ","0                      ","0                      "
"7808","USD","4531  ","Thuế  giá trị gia tăng phải nộp","'C","0                      ","0                      ","0     ","0                      ","0     ","0                      ","0                      ","0                      "
"7808","USD","453101","Thuế  giá trị gia tăng phải nộp","'C","0                      ","0                      ","0     ","0                      ","0     ","0                      ","0                      ","0                      "
"7808","USD","454   ","Chuyển tiền phải trả ","'C","0                      ","0                      ","0     ","0                      ","0     ","0                      ","0                      ","0                      "
"7808","USD","4540  ","Chuyển tiền phải trả ","'C","0                      ","0                      ","0     ","0                      ","0     ","0                      ","0                      ","0                      "
"7808","USD","454001","Chuyển tiền phải trả ","'C","0                      ","0                      ","0     ","0                      ","0     ","0                      ","0                      ","0                      "
"7808","USD","47    ","Các  giao dịch ngoại hối","'B","0                      ","37.85                  ","0     ","0                      ","0     ","0                      ","0                      ","37.85                  "
"7808","USD","471   ","Mua bán ngoại tệ kinh doanh","'B","0                      ","37.85                  ","0     ","0                      ","0     ","0                      ","0                      ","37.85                  "
"7808","USD","4711  ","Mua bán ngoại tệ kinh doanh","'B","0                      ","37.85                  ","0     ","0                      ","0     ","0                      ","0                      ","37.85                  "
"7808","USD","471101","Mua bán ngoại tệ kinh doanh","'B","0                      ","37.85                  ","0     ","0                      ","0     ","0                      ","0                      ","37.85                  "
